Stadtname,st_wbev_2011,st_wbev_2001,proz_ver-2001–2011,bevdichte,st_wbev_1930,st_wbev_1970,st_wbev_1980,st_wbev_1990,st_wbev_2000
Basel,164516,164665,-0.1,69,148063,212857,182143,178428,166558
Bern,125681,122211,2.8,24,111783,162405,145254,136338,128634
Genève,188234,175697,7.1,119,124121,173618,156505,171042,177964
Lausanne,129383,115272,12.2,31,75915,137383,127349,128112,124914
Winterthur,103075,89484,15.2,15,53925,92722,86758,86959,90483
Zürich,376990,340197,10.8,43,290937,422640,369522,365043,363273
Biel-Bienne,51635,48142,7.3,24,37726,64333,53793,51893,48655
Lugano,55151,50877,8.4,17,17672,27121,27815,25334,26560
Luzern,78093,73233,6.6,27,47066,69879,63278,61034,59496
St. Gallen,73505,69857,5.2,19,63947,80852,75847,75237,72626
Baar,22125,19485,13.5,9,5889,14074,15196,16147,19407
Carouge (GE),20004,17601,13.7,75,8035,14055,13100,15036,17590
"Chaux-de-Fonds, La",37843,36869,2.6,7,35252,42347,37234,36894,37016
Chur,33984,31475,8,12,15574,31193,32037,32868,32989
Dietikon,24183,21395,13,26,6487,22705,21765,21152,21353
Dübendorf,25074,22311,12.4,18,4479,19639,20683,21106,22216
Emmen,28481,26771,6.4,14,7905,22040,22392,25407,26885
Frauenfeld,23691,21735,9,9,8989,17792,18883,20577,21954
Fribourg,35680,32418,10.1,38,21557,39695,37400,36355,35547
Kriens,26474,24749,7,10,7424,20409,21097,23079,24742
Köniz,38936,37363,4.2,8,10987,32505,33441,37309,37782
Lancy,28723,25854,11.1,59,4433,20523,23527,22960,25688
Meyrin,21729,19141,13.5,22,1709,14255,18808,19519,19548
Montreux,25199,22122,13.9,8,17662,20421,19685,22917,22454
Neuchâtel,33412,31674,5.5,19,22668,38784,34428,33579,32914
Rapperswil-Jona,26273,24531,7.1,12,7926,17999,19982,22727,24368
Renens (VD),20176,17385,16.1,68,4396,17391,16977,18109,18406
Riehen,20599,20660,-0.3,19,6393,21026,20611,19914,20370
Schaffhausen,35121,33860,3.7,8,23141,37035,34250,34225,33628
Sion,30717,27262,12.7,12,8657,21925,22877,25336,27171
Thun,42764,40294,6.1,20,16524,36523,36891,38211,40377
Uster,32577,28429,14.6,11,9660,21819,23702,25182,28571
Vernier,33237,29204,13.8,43,2880,22230,27962,28482,29559
Wetzikon (ZH),22669,18541,22.3,14,6904,13469,15859,16696,18129
Wädenswil,20870,19216,8.6,12,9501,15695,18485,19440,19464
Yverdon-les-Bains,27961,23272,20.1,25,9715,20538,20802,22758,24376
Zug,26901,22905,17.4,12,11113,22972,21609,21705,22973
Aarau,19840,17944,10.6,16,11666,16881,15788,16481,15470
Adliswil,17518,15789,11,22,5307,15920,16418,15776,15822
Allschwil,19716,18056,9.2,22,7157,17638,17952,18802,18131
Baden,18189,16179,12.4,14,10624,14115,13870,15718,16270
Bellinzona,17544,16797,4.4,9,10706,16979,16743,16849,16463
Bulle,19592,14619,34,8,4110,7556,7595,9062,11149
Burgdorf,15584,14510,7.4,10,9772,15888,15379,15373,14714
Bülach,17503,13972,25.3,11,3569,11043,12292,13472,13999
Freienbach,15730,13512,16.4,11,3231,8429,9912,11186,13055
Glarus Nord,16988,15915,6.7,1,NA,NA,NA,NA,NA
Gossau (SG),17983,16932,6.2,7,7846,12793,14584,15562,16805
Grenchen,15992,15961,0.2,6,10397,20051,16800,16241,15938
Herisau,15174,15614,-2.8,6,13599,14597,14160,15624,15882
Horgen,19095,17502,9.1,9,9320,15691,16577,16463,17432
Illnau-Effretikon,15965,14614,9.2,6,3706,13693,14788,14566,14491
Kloten,18210,16679,9.2,9,1818,16388,15845,16148,17190
Kreuzlingen,19927,16749,19,17,8615,15760,16101,17239,17118
Langenthal,15091,14298,5.5,9,7257,13007,13408,14350,14078
Locarno,15303,14520,5.4,8,6575,14143,14103,13796,14561
Martigny,16345,14467,13,7,4828,10478,11309,13481,14361
Monthey,16628,14257,16.6,6,4901,10114,11285,13790,13933
Muttenz,17309,16715,3.6,10,4966,15518,16911,17181,16654
Nyon,19101,16066,18.9,28,5107,11424,12842,14747,16182
Olten,17076,16446,3.8,15,13484,21209,18991,17805,16757
Onex,17637,16375,7.7,62,687,13524,16956,15736,16419
Opfikon,15995,12087,32.3,29,1268,11115,11444,11872,12062
Ostermundigen,15702,15281,2.8,26,NA,15657,17034,16704,15452
Pratteln,15190,14931,1.7,14,4782,15127,15751,15486,14904
Pully,17336,15965,8.6,29,5075,15917,14988,15612,16034
Regensdorf,16849,15047,12,12,1797,8566,12300,13673,15098
Reinach (BL),18643,18468,0.9,27,2558,13419,17813,17905,18323
Schlieren,16739,12980,29,26,4086,11869,12891,13814,13356
Sierre,15752,14369,9.6,8,5679,12343,13050,14143,14317
Solothurn,16301,15108,7.9,26,13734,17708,15778,15748,15489
Steffisburg,15401,14385,7.1,11,6755,12621,12539,13522,14349
Thalwil,17286,15833,9.2,31,7943,13591,15412,15647,15805
Vevey,18364,15628,17.5,78,13036,17957,16139,15968,16202
Volketswil,17604,14280,23.3,13,1669,7473,10033,12241,14070
Wettingen,19986,18034,10.8,19,8505,19900,18377,17706,17870
Wil (SG),18169,16428,10.6,24,7514,14646,16245,16450,16392
Aesch (BL),10246,9725,5.4,14,2809,6060,7954,9560,9735
Affoltern am Albis,11160,10049,11.1,11,3091,7363,8064,9461,10314
Altstätten,10985,10365,6,3,8393,9084,9260,10249,10381
Amriswil,12422,11151,11.4,7,6631,9190,9013,10426,11357
Arbon,13768,12854,7.1,23,8615,13122,12333,12415,12906
Arth,10921,9646,13.2,3,5047,7580,7795,8425,9593
Bassersdorf,11170,7937,40.7,12,1495,5590,5335,6823,7515
Belp,10974,9127,20.2,5,3293,6981,7578,8104,9193
Binningen,14782,13999,5.6,33,6809,15344,14195,13996,13977
Birsfelden,10300,10227,0.7,41,6175,14226,12543,11290,10429
Brig-Glis,12511,11708,6.9,3,4418,8755,9608,10602,11590
Brugg,10540,10245,2.9,17,5019,8635,8911,9482,9143
Buchs (SG),11418,10215,11.8,7,4624,8454,9066,9801,10399
Cham,14976,13253,13,8,4385,8209,9275,10861,13159
Chêne-Bougeries,10337,9715,6.4,25,3343,8670,9068,9076,9759
Davos,11131,11298,-1.5,0,11164,10238,10468,10957,11417
Delémont,11676,11456,1.9,5,6393,11797,11682,11548,11353
Ebikon,12461,11222,11,13,2240,7770,8679,11068,11322
Ecublens (VD),11280,9690,16.4,20,1013,6379,7615,9743,10227
Einsiedeln,14438,12729,13.4,1,8053,10020,9629,10869,12622
Flawil,10045,9445,6.4,9,5761,8474,8575,8938,9320
Gland,11748,9839,19.4,14,992,2404,4906,7109,9663
Glarus,12291,11807,4.1,1,5269,6189,5969,5728,5556
"Grand-Saconnex, Le",11759,8474,38.8,27,1153,6720,6333,6445,8114
Hinwil,10559,9263,14,5,3146,6547,7554,8379,9157
Horw,13607,12341,10.3,11,2715,10632,11629,11782,12648
Ittigen,10961,10861,0.9,26,NA,6530,9435,11381,10991
Küsnacht (ZH),13524,12448,8.6,11,6084,12193,12766,12384,12484
Küssnacht (SZ),12238,11101,10.2,4,4430,7956,8091,9461,10704
Liestal,13609,12710,7.1,7,6698,12500,12158,12853,12930
"Locle, Le",10077,10320,-2.4,4,12001,14452,12039,11313,10529
Lyss,13929,10761,29.4,9,3462,8131,8723,9941,10659
Meilen,12705,11510,10.4,11,4301,9881,10430,10749,11480
Mendrisio,11673,10943,6.7,5,3904,6223,6590,6152,6146
Morges,14896,13823,7.8,39,5047,11931,13057,13891,14154
Muri bei Bern,12686,12497,1.5,17,3938,10174,12285,12680,12571
Männedorf,10441,8554,22.1,22,3571,7419,7833,7486,8348
Möhlin,10191,8377,21.7,5,2858,6003,6360,7125,8297
Münchenstein,11739,11460,2.4,16,4625,11777,11002,11650,11702
Münsingen,10842,10863,-0.2,13,4012,8350,9340,10101,10937
Neuhausen am Rheinfall,10283,9955,3.3,13,6355,12103,10662,10619,9959
Oberwil (BL),10545,9448,11.6,13,2210,6678,7646,8626,9363
Oftringen,12572,10233,22.9,10,4212,9189,9006,9883,10305
Pfäffikon,10824,9628,12.4,6,3811,7586,8306,9182,9592
Plan-les-Ouates,10196,7261,40.4,18,1263,3225,3647,4915,6804
Prilly,11626,10659,9.1,53,3276,13352,11931,11284,10955
Rheinfelden,12034,10727,12.2,8,3827,6866,9456,9761,10673
Richterswil,12583,10620,18.5,17,4602,7380,8672,9882,10354
Romanshorn,10129,9019,12.3,12,6095,8329,7893,8899,9076
Rüti (ZH),11819,10932,8.1,12,5679,9546,9331,10513,10804
Schwyz,14331,13905,3.1,3,8256,12194,12100,12872,13802
Spiez,12417,11961,3.8,7,4992,9911,9800,11182,12027
Spreitenbach,10782,9502,13.5,12,1064,5978,7198,8315,9127
Stäfa,13886,11668,19,16,4766,9937,10558,10539,11567
Thônex,13478,12825,5.1,35,1504,6680,9241,10180,12141
"Tour-de-Peilz, La",10807,10295,5,33,4266,8864,9411,10197,10230
Uzwil,12722,11992,6.1,9,6140,9133,9614,10980,11977
Val-de-Travers,10857,10907,-0.5,1,NA,NA,NA,NA,NA
Versoix,12942,10973,17.9,12,2211,5627,7483,8604,10309
Veyrier,10289,9148,12.5,16,1373,4210,5942,7039,8892
Villars-sur-Glâne,11762,9183,28.1,22,1234,5214,5788,7997,9339
Wallisellen,14075,11794,19.3,22,3772,10415,10887,11216,11939
Weinfelden,10490,9344,12.3,7,4699,8864,9007,9299,9456
Wohlen (AG),14547,13514,7.6,12,5862,12024,11704,12498,13329
Worb,11266,10824,4.1,5,4527,9526,11080,11604,10895
Zofingen,10897,9585,13.7,10,5563,9292,8643,8746,8647
Zollikon,12103,11719,3.3,15,4472,12117,12134,11406,11662
Altdorf (UR),8903,8552,4.1,9,4240,8647,8230,8282,8541
Appenzell,5734,5524,3.8,3,4893,5217,4781,5194,5447
Arosa,2237,2298,-2.7,1,3466,2717,2782,2271,2771
Chiasso,7776,7653,1.6,15,6625,9326,8583,8212,7720
Lenzburg,8532,7468,14.2,8,4131,7594,7585,7530,7568
Moutier,7480,7682,-2.6,4,4704,8794,7959,7860,7701
Murten,6203,5669,9.4,5,2570,4512,4657,4718,5578
"Neuveville, La",3552,3360,5.7,5,2535,3917,3519,3324,3445
Nidau,6810,6822,-0.2,45,2561,7964,7932,7453,6798
Payerne,8996,7299,23.2,4,4951,6899,6713,7393,7294
Peseux,5700,5503,3.6,17,2694,5578,5212,5139,5387
Rorschach,8840,8630,2.4,50,11005,11963,9878,9535,8647
St. Moritz,5206,4994,4.2,2,3968,5699,5900,5426,5589
Stans,8064,7199,12,7,2916,5180,5681,6217,6983
Sursee,8998,8125,10.7,15,3465,7052,7645,8143,8059
Zuchwil,8783,8930,-1.6,19,2795,8637,8223,9063,8922
Schweiz,7954662,7255653,9.6,NA,4066400,6269783,6365960,6873687,7288010
