Land,Region,Jahr,Besucher,Dauer,Nächte,Bevölkerung,Dichte,lo20,hi65,Erwerbsquote,BIP,Motorisierung,Äquivalenzeinkommen
Belgien,Europa,2018,920,1.7271739130434782,1589,11311.117,371.8,22.59882,18.23783,67.6,34300,497,20820
Bulgarien,Europa,2018,138,2.101449275362319,290,7153.784,66.2,18.32956,20.43375,68.7,14200,442,6744
Dänemark,Europa,2018,301,1.8272425249169435,550,5707.251,132.4,22.97495,18.82556,80,36100,419,21120
Deutschland,Europa,2018,10564,1.709485043544112,18059,82175.684,228.6,18.34008,21.05267,77.9,36000,540,21210
Estland,Europa,2018,24,2.125,51,1315.944,30.3,20.62269,19.02247,77.5,21900,514,11860
Finnland,Europa,2018,130,2.0076923076923077,261,5487.308,18,21.81751,20.46729,75.9,31900,592,19766
Frankreich,Europa,2018,3401,1.5548368127021464,5288,66759.95,105.3,24.57158,18.81332,71.4,30400,484,20750
Griechenland,Europa,2018,195,2.651282051282051,517,10783.748,81.9,19.395,21.26212,68.2,19700,375,8828
Irland,Europa,2018,374,2.3315508021390374,872,4724.72,67.9,28.03569,13.21608,70.5,53300,436,20750
Island,Europa,2018,32,1.78125,57,332.529,3.3,26.66264,13.85533,89.3,37200,474,28616
Italien,Europa,2018,1776,1.8153153153153154,3224,60665.551,201,18.40156,22.03846,64.9,28200,615,16232
Kroatien,Europa,2018,55,1.7636363636363637,97,4190.669,74.4,20.21431,19.2066,65.6,17400,358,8829
Lettland,Europa,2018,13,2.1538461538461537,28,1968.957,31.8,19.63176,19.634,76.3,18800,345,9198
Liechtenstein,Europa,2018,89,1.6179775280898876,144,37.622,234.3,20.5518,16.47706,65.6,31300,436,15175
Litauen,Europa,2018,31,1.7096774193548387,53,2888.558,46.4,20.2831,18.98965,75.5,22000,431,9279
Luxemburg,Europa,2018,181,1.4972375690607735,271,576.249,220.3,22.22598,14.2225,70,75100,647,28071
Malta,Europa,2018,11,1.7272727272727273,19,434.403,1369.5,19.7181,19.04706,69.1,27900,634,16925
Niederlande,Europa,2018,1223,1.6917416189697465,2069,16979.12,502.9,22.48938,18.17119,79.7,37200,477,20994
Norwegen,Europa,2018,106,2.5849056603773586,274,5210.721,17.1,24.18552,16.40681,78,43300,497,28616
Österreich,Europa,2018,892,1.8867713004484306,1683,8690.076,104.8,19.62842,18.47152,76.2,37200,546,22524
Polen,Europa,2018,400,2.235,894,37967.209,124.1,20.2072,15.95976,68.8,19900,546,10850
Portugal,Europa,2018,283,1.8162544169611308,514,10341.33,112.3,19.54483,20.70163,73.7,22500,485,10714
Rumänien,Europa,2018,302,2.019867549668874,610,NA,NA,NA,NA,NA,NA,NA,NA
Russland,Europa,2018,279,2.2974910394265233,641,5487.308,104.8,24.18552,18.98456,82.1,30400,467,20750
Schweden,Europa,2018,405,1.7530864197530864,710,9851.017,24.1,22.73486,19.76676,82.1,36000,474,20706
Serbien,Europa,2018,81,2.567901234567901,208,7076.372,45,19.44994,18.98456,69.1,10700,325,5257
Slowakei,Europa,2018,87,3.0344827586206895,264,5426.252,110.6,20.60376,14.4471,71.9,22400,375,10507
Slowenien,Europa,2018,92,2.282608695652174,210,2064.188,102.4,19.42866,18.41412,71.6,24100,523,15500
Spanien,Europa,2018,1251,1.8337330135891288,2294,46440.099,92.5,19.83422,18.72124,74.2,26700,481,15175
Tschechische Republik,Europa,2018,175,2.28,398.99999999999994,10553.843,136.6,19.72475,18.31003,75,25600,485,12514
Türkei,Europa,2018,275,2.1163636363636362,582,78741.053,101.6,32.34872,8.24886,56.9,18800,134,20994
Ukraine,Europa,2018,98,2.6020408163265305,255,42590.879,268.6,19.88306,15.89275,75.5,19700,474,10714
Ungarn,Europa,2018,361,2.3684210526315788,854.9999999999999,9830.485,105.8,19.62915,18.27559,70.1,19700,325,8387
Vereinigtes Königreich,Europa,2018,3979,2.005780346820809,7980.999999999999,65382.556,268.6,23.52611,17.93429,77.3,31300,467,17521
Weissrussland,Europa,2018,24,3.4166666666666665,82,NA,NA,NA,NA,NA,NA,NA,NA
Zypern,Europa,2018,22,2.590909090909091,57,848.319,92,22.54871,15.11695,73.4,24100,575,15985
Übriges Europa,Europa,2018,196,2.045918367346939,401.00000000000006,NA,NA,NA,NA,NA,NA,NA,NA
Vereinigte Staaten,Amerika,2018,6439,2.3843764559714242,15353,NA,NA,NA,NA,NA,NA,NA,NA
Kanada,Amerika,2018,777,2.5817245817245817,2006,NA,NA,NA,NA,NA,NA,NA,NA
Mexiko,Amerika,2018,101,2.5643564356435644,259,NA,NA,NA,NA,NA,NA,NA,NA
"Übriges Zentralamerika, Karibik",Amerika,2018,91,2.934065934065934,267,NA,NA,NA,NA,NA,NA,NA,NA
Argentinien,Amerika,2018,96,2.4791666666666665,238,NA,NA,NA,NA,NA,NA,NA,NA
Brasilien,Amerika,2018,305,3.219672131147541,982,NA,NA,NA,NA,NA,NA,NA,NA
Chile,Amerika,2018,36,2.7222222222222223,98,NA,NA,NA,NA,NA,NA,NA,NA
Übriges Südamerika,Amerika,2018,108,2.5555555555555554,276,NA,NA,NA,NA,NA,NA,NA,NA
Ägypten,Afrika,2018,53,2.5849056603773586,137,NA,NA,NA,NA,NA,NA,NA,NA
Übriges Nordafrika,Afrika,2018,69,2.1739130434782608,150,NA,NA,NA,NA,NA,NA,NA,NA
"Südafrika, Republik",Afrika,2018,74,3.1486486486486487,233,NA,NA,NA,NA,NA,NA,NA,NA
Übriges Afrika,Afrika,2018,155,3.329032258064516,516,NA,NA,NA,NA,NA,NA,NA,NA
Bahrain,Asien,2018,7,2,14,NA,NA,NA,NA,NA,NA,NA,NA
"China, Volksrepublik",Asien,2018,694,2.0576368876080693,1428,NA,NA,NA,NA,NA,NA,NA,NA
Hongkong,Asien,2018,69,1.9565217391304348,135,NA,NA,NA,NA,NA,NA,NA,NA
Indien,Asien,2018,455,3.564835164835165,1622,NA,NA,NA,NA,NA,NA,NA,NA
Indonesien,Asien,2018,193,1.8445595854922279,356,NA,NA,NA,NA,NA,NA,NA,NA
Israel,Asien,2018,355,2.72112676056338,966,NA,NA,NA,NA,NA,NA,NA,NA
Japan,Asien,2018,529,2.497164461247637,1321,NA,NA,NA,NA,NA,NA,NA,NA
Katar,Asien,2018,15,9.533333333333333,143,NA,NA,NA,NA,NA,NA,NA,NA
"Korea, Republik",Asien,2018,403,1.6377171215880892,660,NA,NA,NA,NA,NA,NA,NA,NA
Kuwait,Asien,2018,7,1.5714285714285714,11,NA,NA,NA,NA,NA,NA,NA,NA
Malaysia,Asien,2018,102,2.392156862745098,244,NA,NA,NA,NA,NA,NA,NA,NA
Oman,Asien,2018,4,2.25,9,NA,NA,NA,NA,NA,NA,NA,NA
Philippinen,Asien,2018,42,2.6904761904761907,113.00000000000001,NA,NA,NA,NA,NA,NA,NA,NA
Saudi Arabien,Asien,2018,90,2.6777777777777776,240.99999999999997,NA,NA,NA,NA,NA,NA,NA,NA
Singapur,Asien,2018,121,3.6198347107438016,438,NA,NA,NA,NA,NA,NA,NA,NA
Taiwan,Asien,2018,121,1.9338842975206612,234,NA,NA,NA,NA,NA,NA,NA,NA
Thailand,Asien,2018,116,2.396551724137931,278,NA,NA,NA,NA,NA,NA,NA,NA
Übriges Süd- und Ostasien,Asien,2018,191,3.06282722513089,585,NA,NA,NA,NA,NA,NA,NA,NA
Übriges Westasien,Asien,2018,81,2.6790123456790123,217,NA,NA,NA,NA,NA,NA,NA,NA
Vereinigte Arabische Emirate,Asien,2018,64,4.109375,263,NA,NA,NA,NA,NA,NA,NA,NA
Australien,"Australien, Neuseeland, Ozeanien",2018,444,2.2162162162162162,984,NA,NA,NA,NA,NA,NA,NA,NA
Neuseeland und Ozeanien,"Australien, Neuseeland, Ozeanien",2018,64,2.75,176,NA,NA,NA,NA,NA,NA,NA,NA
Belgien,Europa,2019,767,1.88787483702738,1448.0000000000005,11311.117,371.8,22.59882,18.23783,67.6,34300,497,20820
Bulgarien,Europa,2019,95,2.22105263157895,211.00000000000023,7153.784,66.2,18.32956,20.43375,68.7,14200,442,6744
Dänemark,Europa,2019,394,1.90609137055838,751.0000000000017,5707.251,132.4,22.97495,18.82556,80,36100,419,21120
Deutschland,Europa,2019,10002,1.75564887022595,17559.999999999953,82175.684,228.6,18.34008,21.05267,77.9,36000,540,21210
Estland,Europa,2019,27,2.7037037037037,72.9999999999999,1315.944,30.3,20.62269,19.02247,77.5,21900,514,11860
Finnland,Europa,2019,127,2.24409448818898,285.00000000000045,5487.308,18,21.81751,20.46729,75.9,31900,592,19766
Frankreich,Europa,2019,2853,1.69961444093936,4848.9999999999945,66759.95,105.3,24.57158,18.81332,71.4,30400,484,20750
Griechenland,Europa,2019,186,2.2741935483871,423.0000000000006,10783.748,81.9,19.395,21.26212,68.2,19700,375,8828
Irland,Europa,2019,327,1.96941896024465,644.0000000000006,4724.72,67.9,28.03569,13.21608,70.5,53300,436,20750
Island,Europa,2019,16,1.75,28,332.529,3.3,26.66264,13.85533,89.3,37200,474,28616
Italien,Europa,2019,1938,1.86326109391125,3611.0000000000023,60665.551,201,18.40156,22.03846,64.9,28200,615,16232
Kroatien,Europa,2019,57,2.42105263157895,138.00000000000014,4190.669,74.4,20.21431,19.2066,65.6,17400,358,8829
Lettland,Europa,2019,22,1.72727272727273,38.00000000000006,1968.957,31.8,19.63176,19.634,76.3,18800,345,9198
Liechtenstein,Europa,2019,91,1.28571428571429,117.0000000000004,37.622,234.3,20.5518,16.47706,65.6,31300,436,15175
Litauen,Europa,2019,37,2.27027027027027,84,2888.558,46.4,20.2831,18.98965,75.5,22000,431,9279
Luxemburg,Europa,2019,177,1.59322033898305,281.99999999999983,576.249,220.3,22.22598,14.2225,70,75100,647,28071
Malta,Europa,2019,9,1.44444444444444,12.99999999999996,434.403,1369.5,19.7181,19.04706,69.1,27900,634,16925
Niederlande,Europa,2019,1414,1.84724186704385,2612.0000000000036,16979.12,502.9,22.48938,18.17119,79.7,37200,477,20994
Norwegen,Europa,2019,114,2.36842105263158,270.0000000000001,5210.721,17.1,24.18552,16.40681,78,43300,497,28616
Österreich,Europa,2019,855,2.05497076023392,1757.0000000000014,8690.076,104.8,19.62842,18.47152,76.2,37200,546,22524
Polen,Europa,2019,497,2.2092555331992,1098.0000000000025,37967.209,124.1,20.2072,15.95976,68.8,19900,546,10850
Portugal,Europa,2019,287,1.9581881533101,561.9999999999987,10341.33,112.3,19.54483,20.70163,73.7,22500,485,10714
Rumänien,Europa,2019,267,2.1310861423221,569.0000000000007,NA,NA,NA,NA,NA,NA,NA,NA
Russland,Europa,2019,353,1.92917847025496,681.0000000000008,5487.308,104.8,24.18552,18.98456,82.1,30400,467,20750
Schweden,Europa,2019,316,1.99683544303797,630.9999999999985,9851.017,24.1,22.73486,19.76676,82.1,36000,474,20706
Serbien,Europa,2019,72,2.61111111111111,187.99999999999991,7076.372,45,19.44994,18.98456,69.1,10700,325,5257
Slowakei,Europa,2019,61,3.18032786885246,194.00000000000006,5426.252,110.6,20.60376,14.4471,71.9,22400,375,10507
Slowenien,Europa,2019,76,2.40789473684211,183.00000000000037,2064.188,102.4,19.42866,18.41412,71.6,24100,523,15500
Spanien,Europa,2019,1066,2.10694183864916,2246.0000000000045,46440.099,92.5,19.83422,18.72124,74.2,26700,481,15175
Tschechische Republik,Europa,2019,181,2.14364640883978,388.0000000000002,10553.843,136.6,19.72475,18.31003,75,25600,485,12514
Türkei,Europa,2019,238,1.78151260504202,424.00000000000074,78741.053,101.6,32.34872,8.24886,56.9,18800,134,20994
Ukraine,Europa,2019,92,2.56521739130435,236.0000000000002,42590.879,268.6,19.88306,15.89275,75.5,19700,474,10714
Ungarn,Europa,2019,350,2.48571428571429,870.0000000000016,9830.485,105.8,19.62915,18.27559,70.1,19700,325,8387
Vereinigtes Königreich,Europa,2019,3739,2.05429259160203,7680.999999999989,65382.556,268.6,23.52611,17.93429,77.3,31300,467,17521
Weissrussland,Europa,2019,37,2.78378378378378,102.99999999999987,NA,NA,NA,NA,NA,NA,NA,NA
Zypern,Europa,2019,16,4.875,78,848.319,92,22.54871,15.11695,73.4,24100,575,15985
Übriges Europa,Europa,2019,205,2.17560975609756,445.9999999999998,NA,NA,NA,NA,NA,NA,NA,NA
Vereinigte Staaten,Amerika,2019,6256,2.3300831202046,14576.999999999978,NA,NA,NA,NA,NA,NA,NA,NA
Kanada,Amerika,2019,626,2.26517571884984,1417.9999999999998,NA,NA,NA,NA,NA,NA,NA,NA
Mexiko,Amerika,2019,112,2.24107142857143,251.00000000000017,NA,NA,NA,NA,NA,NA,NA,NA
"Übriges Zentralamerika, Karibik",Amerika,2019,117,2.24786324786325,263.0000000000003,NA,NA,NA,NA,NA,NA,NA,NA
Argentinien,Amerika,2019,80,2.3625,189,NA,NA,NA,NA,NA,NA,NA,NA
Brasilien,Amerika,2019,408,2.75490196078431,1123.9999999999986,NA,NA,NA,NA,NA,NA,NA,NA
Chile,Amerika,2019,49,1.89795918367347,93.00000000000003,NA,NA,NA,NA,NA,NA,NA,NA
Übriges Südamerika,Amerika,2019,65,2.16923076923077,141.00000000000006,NA,NA,NA,NA,NA,NA,NA,NA
Ägypten,Afrika,2019,35,3.2,112,NA,NA,NA,NA,NA,NA,NA,NA
Übriges Nordafrika,Afrika,2019,54,2.44444444444444,131.99999999999977,NA,NA,NA,NA,NA,NA,NA,NA
"Südafrika, Republik",Afrika,2019,93,3.20430107526882,298.0000000000003,NA,NA,NA,NA,NA,NA,NA,NA
Übriges Afrika,Afrika,2019,142,2.98591549295775,424.0000000000005,NA,NA,NA,NA,NA,NA,NA,NA
Bahrain,Asien,2019,2,2.5,5,NA,NA,NA,NA,NA,NA,NA,NA
"China, Volksrepublik",Asien,2019,951,2.1713985278654,2064.9999999999955,NA,NA,NA,NA,NA,NA,NA,NA
Hongkong,Asien,2019,87,2.33333333333333,202.99999999999972,NA,NA,NA,NA,NA,NA,NA,NA
Indien,Asien,2019,366,4.51092896174863,1650.9999999999986,NA,NA,NA,NA,NA,NA,NA,NA
Indonesien,Asien,2019,64,2.15625,138,NA,NA,NA,NA,NA,NA,NA,NA
Israel,Asien,2019,339,2.05604719764012,697.0000000000006,NA,NA,NA,NA,NA,NA,NA,NA
Japan,Asien,2019,602,3.10963455149502,1872.000000000002,NA,NA,NA,NA,NA,NA,NA,NA
Katar,Asien,2019,10,8.4,84,NA,NA,NA,NA,NA,NA,NA,NA
"Korea, Republik",Asien,2019,348,2.26724137931034,788.9999999999983,NA,NA,NA,NA,NA,NA,NA,NA
Kuwait,Asien,2019,11,3.18181818181818,34.99999999999998,NA,NA,NA,NA,NA,NA,NA,NA
Malaysia,Asien,2019,105,3.25714285714286,342.0000000000003,NA,NA,NA,NA,NA,NA,NA,NA
Oman,Asien,2019,11,2,22,NA,NA,NA,NA,NA,NA,NA,NA
Philippinen,Asien,2019,56,2.625,147,NA,NA,NA,NA,NA,NA,NA,NA
Saudi Arabien,Asien,2019,75,2.82666666666667,212.00000000000026,NA,NA,NA,NA,NA,NA,NA,NA
Singapur,Asien,2019,159,3.0314465408805,481.9999999999995,NA,NA,NA,NA,NA,NA,NA,NA
Taiwan,Asien,2019,178,1.67415730337079,298.0000000000006,NA,NA,NA,NA,NA,NA,NA,NA
Thailand,Asien,2019,93,2.02150537634409,188.00000000000037,NA,NA,NA,NA,NA,NA,NA,NA
Übriges Süd- und Ostasien,Asien,2019,131,2.48091603053435,324.99999999999983,NA,NA,NA,NA,NA,NA,NA,NA
Übriges Westasien,Asien,2019,123,2.13008130081301,262.0000000000002,NA,NA,NA,NA,NA,NA,NA,NA
Vereinigte Arabische Emirate,Asien,2019,70,2.24285714285714,156.99999999999983,NA,NA,NA,NA,NA,NA,NA,NA
Australien,"Australien, Neuseeland, Ozeanien",2019,341,2.24633431085044,766.0000000000001,NA,NA,NA,NA,NA,NA,NA,NA
Neuseeland und Ozeanien,"Australien, Neuseeland, Ozeanien",2019,66,3.16666666666667,209.00000000000023,NA,NA,NA,NA,NA,NA,NA,NA
